customer_number,predicted_probability
445420,0.4759748612792089
585604,0.4194948815399758
888824,0.35165725361206673
816820,0.3429407044468656
542716,0.5835633337702496
937852,0.33623708449118306
434084,0.41710621794782615
230861,0.38901375572440294
159684,0.7862161470932992
274159,0.47918935711643534
415073,0.5482074741445936
839604,0.9137133635766226
222848,0.47694048311514803
746851,0.3977650476209078
359083,0.3429407044468656
764740,0.6654234964857836
532666,0.6341077611612991
542489,0.35685068971246386
683800,0.592073991217586
393880,0.3429407044468656
346443,0.6956519175331474
722690,0.3429407044468656
797639,0.47694048311514803
974186,0.8441895270262966
774649,0.47694048311514803
482188,0.6817508071933868
312516,0.47614254884601576
363861,0.4952830074323184
714683,0.5835633337702496
708370,0.5038676517875124
371413,0.3577273213101513
630217,0.3977650476209078
571146,0.6709653191487072
962328,0.4728577421224907
470375,0.3577273213101513
945629,0.47694048311514803
179592,0.35150074145350946
744791,0.5927159207739484
289641,0.7127597593195376
595829,0.5482074741445936
620262,0.7251392358285721
738283,0.404852896040909
288862,0.9127522797442321
854233,0.3361146244839395
401365,0.39347869561668997
671370,0.6470397072507864
307359,0.46581953523582037
845744,0.4204655323234722
833496,0.5927159207739484
889877,0.5482074741445936
600454,0.7620055737058734
595366,0.5905234939781764
299980,0.810965662558639
316195,0.47698885132866087
892132,0.44368117577930005
429227,0.8427631642642083
568864,0.6110547599111348
453514,0.35367245247285556
655724,0.5138500934472712
405125,0.5927159207739484
357624,0.4728577421224907
706564,0.45099498308883934
328177,0.6563419501836177
322194,0.5714936853473066
415259,0.47694048311514803
737899,0.9050606120414387
934827,0.4380692319812219
932482,0.47148523008437543
452141,0.39251606820830326
252326,0.47452244563208934
543165,0.33623708449118306
961597,0.47918935711643534
529109,0.3361146244839395
830645,0.5925910461306539
628282,0.47694048311514803
989235,0.8953467674619713
779931,0.42137897849692857
171152,0.9031348213321303
467849,0.44180838926439603
424751,0.44368117577930005
335651,0.4698039837644535
960826,0.40129531287550907
307645,0.47918935711643534
126669,0.33623708449118306
876278,0.42760456326944213
464099,0.45180150493171406
682185,0.4142852892950069
912996,0.4360452049374601
540820,0.40129531287550907
667534,0.3547526049964707
232173,0.5835633337702496
503340,0.44368117577930005
524302,0.9138168908175879
722557,0.35165725361206673
217598,0.42760456326944213
169002,0.6110547599111348
651324,0.5482074741445936
663126,0.38901375572440294
621228,0.44180838926439603
963929,0.3547526049964707
809507,0.4952830074323184
